Flow ID;Source IP;Source Port;Destination IP;Destination Port;Protocol;Timestamp;Flow Duration;Total Fwd Packets;Total Backward Packets;Total Length of Fwd Packets;Total Length of Bwd Packets;Fwd Packet Length Max;Fwd Packet Length Min;Fwd Packet Length Mean;Fwd Packet Length Std;Bwd Packet Length Max;Bwd Packet Length Min;Bwd Packet Length Mean;Bwd Packet Length Std;Flow Bytes/s;Flow Packets/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Total;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Total;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Length;Bwd Header Length;Fwd Packets/s;Bwd Packets/s;Min Packet Length;Max Packet Length;Packet Length Mean;Packet Length Std;Packet Length Variance;FIN Flag Count;SYN Flag Count;RST Flag Count;PSH Flag Count;ACK Flag Count;URG Flag Count;CWE Flag Count;ECE Flag Count;Down/Up Ratio;Average Packet Size;Avg Fwd Segment Size;Avg Bwd Segment Size;Fwd Avg Bytes/Bulk;Fwd Avg Packets/Bulk;Fwd Avg Bulk Rate;Bwd Avg Bytes/Bulk;Bwd Avg Packets/Bulk;Bwd Avg Bulk Rate;Subflow Fwd Packets;Subflow Fwd Bytes;Subflow Bwd Packets;Subflow Bwd Bytes;Init_Win_bytes_forward;Init_Win_bytes_backward;act_data_pkt_fwd;min_seg_size_forward;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
192.168.10.14-209.48.71.168-49459-80-6;192.168.10.14;49459;209.48.71.168;80;6;05/07/2017 08:42;38308;1;1;6;6;6;6;6;0;6;6;6;0;313.250496;52.208416;38308;0;38308;38308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;26.104208;26.104208;6;6;6;0;0;0;0;0;0;1;1;0;0;1;9;6;6;0;0;0;0;0;0;1;6;1;6;255;946;0;20;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.17-389-49453-6;192.168.10.17;49453;192.168.10.3;389;6;05/07/2017 08:42;479;11;5;172;326;79;0;15.63636364;31.4492376;163;0;65.2;89.27877687;1039665.971;33402.92276;31.93333333;25.51040871;73;0;479;47.9;38.9428356;109;1;401;100.25;101.7361784;237;3;0;0;0;0;368;176;22964.50939;10438.41336;0;163;29.29411765;56.52959922;3195.595588;0;0;0;1;0;0;0;0;0;31.125;15.63636364;65.2;0;0;0;0;0;0;11;172;5;326;29200;260;4;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.17-88-46124-6;192.168.10.17;46124;192.168.10.3;88;6;05/07/2017 08:42;1095;10;6;3150;3150;1575;0;315;632.5616351;1575;0;525;813.3265027;5753424.658;14611.87215;73;204.9609719;810;1;1095;121.6666667;298.7461297;915;1;995;199;345.5350923;810;3;0;0;0;0;336;208;9132.420091;5479.452055;0;1575;370.5882353;671.7515406;451250.1324;0;0;0;1;0;0;0;0;0;393.75;315;525;0;0;0;0;0;0;10;3150;6;3150;29200;2081;3;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.17-389-49454-6;192.168.10.17;49454;192.168.10.3;389;6;05/07/2017 08:42;15206;17;12;3452;6660;1313;0;203.0588235;425.7784739;3069;0;555;977.4803416;665000.6576;1907.141918;543.0714286;2519.931377;13391;0;15206;950.375;3322.417812;13391;2;15112;1373.818182;4176.449588;13961;3;0;0;0;0;560;388;1117.979745;789.1621728;0;3069;337.0666667;704.6540816;496537.3747;0;0;0;1;0;0;0;0;0;348.6896552;203.0588235;555;0;0;0;0;0;0;17;3452;12;6660;29200;0;10;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.17-88-46126-6;192.168.10.17;46126;192.168.10.3;88;6;05/07/2017 08:42;1092;9;6;3150;3152;1575;0;350;694.5097192;1576;0;525.3333333;813.8429005;5771062.271;13736.26374;78;207.000929;794;1;1092;136.5;313.850738;910;1;1015;203;333.2401536;794;3;0;0;0;0;304;208;8241.758242;5494.505495;0;1576;393.875;704.585067;496440.1167;0;0;0;1;0;0;0;0;0;420.1333333;350;525.3333333;0;0;0;0;0;0;9;3150;6;3152;29200;2081;2;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.17-389-49460-6;192.168.10.17;49460;192.168.10.3;389;6;05/07/2017 08:42;433;11;4;172;326;79;0;15.63636364;31.4492376;163;0;81.5;94.10809388;1150115.473;34642.03233;30.92857143;27.74461635;74;0;433;43.3;41.79859115;109;0;222;74;126.439709;220;1;0;0;0;0;368;144;25404.15704;9237.875289;0;163;31.125;57.86060836;3347.85;0;0;0;1;0;0;0;0;0;33.2;15.63636364;81.5;0;0;0;0;0;0;11;172;4;326;29200;2081;4;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.17-88-46131-6;192.168.10.17;46131;192.168.10.3;88;6;05/07/2017 08:42;1088;9;6;3150;3152;1575;0;350;694.5097192;1576;0;525.3333333;813.8429005;5792279.412;13786.76471;77.71428571;210.3771078;805;2;1088;136;293.8517605;860;3;1014;202.8;342.1347688;805;2;0;0;0;0;304;208;8272.058824;5514.705882;0;1576;393.875;704.585067;496440.1167;0;0;0;1;0;0;0;0;0;420.1333333;350;525.3333333;0;0;0;0;0;0;9;3150;6;3152;29200;2081;2;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.16-91.189.88.161-37380-80-6;192.168.10.16;37380;91.189.88.161;80;6;05/07/2017 08:42;579225;132;150;160;320799;160;0;1.212121212;13.92621248;4344;0;2138.66;831.8348267;554118.0025;486.8574388;2061.298932;12214.52594;94632;0;579225;4421.564885;17683.93123;95158;1;483900;3247.651007;15697.10339;94740;2;0;0;0;0;4232;4808;227.890716;258.9667228;0;4344;1134.130742;1227.920672;1507789.178;0;0;0;1;0;0;0;0;1;1138.152482;1.212121212;2138.66;0;0;0;0;0;0;132;160;150;320799;29200;237;1;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.15-49666-49413-6;192.168.10.15;49413;192.168.10.3;49666;6;05/07/2017 08:42;3;2;0;12;0;6;6;6;0;0;0;0;0;4000000;666666.6667;3;0;3;3;3;3;0;3;3;0;0;0;0;0;0;0;0;0;40;0;666666.6667;0;6;6;6;0;0;0;0;0;0;1;1;0;0;0;9;6;0;0;0;0;0;0;0;2;12;0;0;253;-1;1;20;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.15-49666-49413-6;192.168.10.3;49666;192.168.10.15;49413;6;05/07/2017 08:42;4;3;0;18;0;6;6;6;0;0;0;0;0;4500000;750000;2;1.414213562;3;1;4;2;1.414213562;3;1;0;0;0;0;0;0;0;0;0;60;0;750000;0;6;6;6;0;0;0;0;0;0;1;0;0;0;0;8;6;0;0;0;0;0;0;0;3;18;0;0;2052;-1;2;20;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.12-88-49894-6;192.168.10.12;49894;192.168.10.3;88;6;05/07/2017 08:43;1080;9;6;3130;3124;1565;0;347.7777778;690.1001336;1562;0;520.6666667;806.6133316;5790740.741;13888.88889;77.14285714;212.1145761;811;1;1080;135;308.0987782;894;1;993;198.6;345.9498519;811;3;0;0;0;0;304;208;8333.333333;5555.555556;0;1565;390.875;699.2188856;488907.05;0;0;0;1;0;0;0;0;0;416.9333333;347.7777778;520.6666667;0;0;0;0;0;0;9;3130;6;3124;29200;260;2;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.12-389-43838-6;192.168.10.12;43838;192.168.10.3;389;6;05/07/2017 08:43;5008522;39;26;5996;10284;403;0;153.7435897;139.3017773;1173;126;395.5384615;344.6042636;3250.459916;12.9778805;78258.15625;387630.6852;2673701;3;5008522;131803.2105;498594.8965;2673701;3;3570045;142801.8;559237.1266;2715645;3;1;0;0;0;1248;832;7.7867283;5.1911522;0;1173;249.5151515;266.6626934;71108.99207;0;1;0;0;1;0;0;0;0;253.3538462;153.7435897;395.5384615;0;0;0;0;0;0;39;5996;26;10284;367;2078;25;32;0;0;0;0;0;0;0;0;BENIGN
192.168.10.3-192.168.10.12-3268-59666-6;192.168.10.12;59666;192.168.10.3;3268;6;05/07/2017 08:43;4955405;33;24;4990;5060;403;0;151.2121212;120.1469823;242;72;210.8333333;63.43477764;2028.088522;11.50259161;88489.375;415887.6335;2716857;1;4955405;154856.4063;544298.365;2716857;1;3520965;153085.4348;583284.1464;2717127;48;1;0;0;0;1056;768;6.659395145;4.843196469;0;403;180.2241379;107.1457514;11480.21204;0;1;0;0;1;0;0;0;0;183.3859649;151.2121212;210.8333333;0;0;0;0;0;0;33;4990;24;5060;299;2077;23;32;0;0;0;0;0;0;0;0;BENIGN
131.253.61.82-192.168.10.15-443-49452-6;192.168.10.15;49452;131.253.61.82;443;6;05/07/2017 08:43;274441;12;14;5763;16108;3425;0;480.25;1016.589944;3121;0;1150.571429;863.040307;79692.90303;94.73803113;10977.64;19256.03424;52399;14;274427;24947.90909;30158.77837;87669;51;228316;17562.76923;28235.11155;75974;48;0;0;0;0;252;292;43.72524513;51.01278599;0;3425;810.037037;973.4094119;947525.8832;0;0;0;1;0;0;0;0;1;841.1923077;480.25;1150.571429;0;0;0;0;0;0;12;5763;14;16108;8192;256;11;20;0;0;0;0;0;0;0;0;BENIGN
131.253.61.82-192.168.10.15-443-49452-6;192.168.10.15;49452;131.253.61.82;443;6;05/07/2017 08:43;4;2;0;91;0;85;6;45.5;55.86143571;0;0;0;0;2.28E+07;500000;4;0;4;4;4;4;0;4;4;0;0;0;0;0;1;0;0;0;40;0;500000;0;6;85;58.66666667;45.61067127;2080.333333;0;1;0;0;1;0;0;0;0;88;45.5;0;0;0;0;0;0;0;2;91;0;0;256;-1;1;20;0;0;0;0;0;0;0;0;BENIGN
